cas;H;He;Li;Be;B;C;N;O;F;Na;Mg;Al;Si;P;S;Cl;Ar;K;Ca;Sc;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Ga;Ge;As;Se;Br;Kr;Rb;Sr;Y;Zr;Nb;Mo;Tc;Ru;Rh;Pd;Ag;Cd;In;Sn;Sb;Te;I;Xe;Cs;Ba;La;Ce;Pr;Nd;Pm;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Hf;Ta;W;Re;Os;Ir;Pt;Au;Hg;Tl;Pb;Bi;Po;At;Rn;Ra;Ac;Th;Pa;U;Np;Pu;Am;Cm
000107-13-1;0.056987788;;;;;0.679047942;0.26396427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-10-1;0.120765567;;;;;0.719501602;;0.15973283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-11-2;0.138113274;;;;;0.705305499;;0.156581227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-31-6;0.020559471;;;;;0.489959921;;0.489480608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-59-8;0.061037732;;;;;0.454566098;;0.48439617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-83-8;0.127557262;;;;;0.759965411;;0.112477327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-88-3;0.087518043;;;;;0.912481957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-90-7;0.044777711;;;;;0.640267956;;;;;;;;;;0.314954334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000108-95-2;0.064263173;;;;;0.765739058;;0.169997769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000109-66-0;0.167648404;;;;;0.832351596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000109-67-1;0.14372282;;;;;0.85627718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000109-89-7;0.151601745;;;;;0.656886203;0.191512052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000110-00-9;0.059228792;;;;;0.70575101;;0.235020198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000110-03-2;0.124078506;;;;;0.657101826;;0.218819668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000110-63-4;0.111848383;;;;;0.533099576;;0.355052041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000111-30-8;0.080545761;;;;;0.599848178;;0.319606061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000111-42-2;0.105462397;;;;;0.456965673;0.133226172;0.304345758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000111-46-6;0.094985912;;;;;0.452728489;;0.452285599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000112-27-6;0.093970994;;;;;0.479883335;;0.426145671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000112-53-8;0.140646886;;;;;0.773493472;;0.085859643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000115-10-6;0.131281339;;;;;0.521435238;;0.347283423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000115-29-7;0.014863457;;;;;0.265662171;;0.11795657;;;;;;;0.078790083;0.52272772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000115-32-2;0.024487482;;;;;0.453887577;;0.0431851;;;;;;;;0.478439841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000116-06-3;0.074171796;;;;;0.44190349;0.147239844;0.168179501;;;;;;;0.168505369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000117-81-7;0.098073555;;;;;0.738071097;;0.163855348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000118-74-1;;;;;;0.253070942;;;;;;;;;;0.746929058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000118-92-3;0.051451822;;;;;0.613083172;0.102137992;0.233327014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000120-36-5;0.034306135;;;;;0.459878329;;0.204190419;;;;;;;;0.301625117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000120-83-2;0.024736652;;;;;0.442130837;;0.098155181;;;;;;;;0.434977331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000121-43-7;0.087304642;;;;0.104030333;0.34676457;;0.461900454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000121-75-5;0.057974917;;;;;0.363584339;;0.290582925;;;;;;0.093760509;0.19409731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000122-14-5;0.043631522;;;;;0.389924261;0.050524696;0.28855023;;;;;;0.11172556;0.115643732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000122-34-9;0.059982743;;;;;0.416928661;0.347295917;;;;;;;;;0.175792679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000122-42-9;0.073117248;;;;;0.670185639;0.078155776;0.178541338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000123-33-1;0.035971736;;;;;0.428627507;0.249928628;0.285472129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000124-38-9;;;;;;0.272921448;;0.727078552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000124-40-3;0.156504381;;;;;0.532815792;0.310679827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000127-18-4;;;;;;0.144866182;;;;;;;;;;0.855133818;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000131-11-3;0.051908994;;;;;0.618530687;;0.329560318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000133-06-2;0.026828311;;;;;0.359637099;0.046600217;0.106454897;;;;;;;0.106661166;0.35381831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000137-26-8;0.050312791;;;;;0.299755424;0.116523027;;;;;;;;0.533408758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000137-30-4;0.039555782;;;;;0.235666915;0.091610093;;;;;;;;0.419364544;;;;;;;;;;;;;;0.213802666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000137-42-8;0.031214492;;;;;0.185970867;0.108437846;;;0.177979658;;;;;0.496397137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000141-43-5;0.115513064;;;;;0.393261738;0.229307184;0.261918015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000141-53-7;0.014822054;;;;;0.176614771;;0.470511985;;0.33805119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000141-66-2;0.067995616;;;;;0.405106818;0.059053484;0.337258762;;;;;;0.130585319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000142-30-3;0.099241902;;;;;0.675733836;;0.225024262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000142-82-5;0.160950052;;;;;0.839049948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000142-84-7;0.14941745;;;;;0.712163885;0.138418665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000144-21-8;0.016440757;;;;;0.065300905;;0.260948091;;0.24997964;;;;;;;;;;;;;;;;;;;;;;0.407330607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000145-73-3;0.035041591;;;;;0.417544194;;0.347613102;;0.199801113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000148-24-3;0.048608097;;;;;0.744683489;0.09649286;0.110215554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000148-79-8;0.035061392;;;;;0.596828773;0.208803113;;;;;;;;0.159306723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000156-62-7;0.024549739;;;;;0.14626335;0.341139079;;;;;;;;;;;;0.488047833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000208-96-8;0.05298431;;;;;0.94701569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000298-02-2;0.065815358;;;;;0.322920042;;0.122896815;;;;;;0.118962957;0.369404828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000298-04-4;0.069798014;;;;;0.35018544;;0.116614288;;;;;;0.11288153;0.350520727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000300-76-5;0.018530494;;;;;0.126173335;;0.168066537;;;;;;0.081343411;;0.186197848;;;;;;;;;;;;;;;;;;0.419688375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000301-12-2;0.061394592;;;;;0.292623194;;0.259855048;;;;;;0.125768617;0.260358549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000302-01-2;0.125819135;;;;;;0.874180865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000306-83-2;0.006591457;;;;;0.157083322;;;0.372699895;;;;;;;0.463625325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000309-00-2;0.022099448;;;;;0.394994738;;;;;;;;;;0.582905814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000330-54-1;0.043244727;;;;;0.46376109;0.120184305;0.068638134;;;;;;;;0.304171743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000330-55-2;0.040467139;;;;;0.433973929;0.112464922;0.128459077;;;;;;;;0.284634933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000333-41-5;0.0695527;;;;;0.473581339;0.092046927;0.157706016;;;;;;0.101771957;0.105341061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000334-48-5;0.117026958;;;;;0.697227576;;0.185745466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000353-59-3;;;;;;0.072634669;;;0.229779821;;;;;;;0.214378403;;;;;;;;;;;;;;;;;;0.483207107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000354-33-6;0.008398459;;;;;0.200146613;;;0.791454927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000372-09-8;0.03555054;;;;;0.423608662;0.164668124;0.376172674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000420-04-2;0.047953189;;;;;0.285697295;0.666349516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000420-46-2;0.035982347;;;;;0.285835962;;;0.67818169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000463-58-1;;;;;;0.199950058;;0.266339271;;;;;;;0.533710671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000467-69-6;0.044556228;;;;;0.743284519;;0.212159253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000506-87-6;0.083924817;;;;;0.125002602;0.291551319;0.499521262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000533-74-4;0.062119074;;;;;0.370095336;0.17263926;;;;;;;;0.395146331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000534-52-1;0.030524796;;;;;0.424344131;0.141389161;0.403741912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000546-93-0;;;;;;0.142457272;;0.569271643;;;0.288271085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000547-64-8;0.077460256;;;;;0.461495605;;0.461044138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000552-16-9;0.03015797;;;;;0.503093585;0.083814026;0.382934418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000554-13-2;;;0.187851884;;;0.162556843;;0.649591273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000555-37-3;0.058610401;;;;;0.523786854;0.101805046;0.058141605;;;;;;;;0.257656093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000584-79-2;0.086662655;;;;;0.754624455;;0.15871289;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000593-70-4;0.029441229;;;;;0.17540605;;;0.277448577;;;;;;;0.517704144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000608-93-5;0.004026781;;;;;0.287890893;;;;;;;;;;0.708082325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000630-08-0;;;;;;0.428811139;;0.571188861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000709-98-8;0.041599985;;;;;0.495691889;0.064229607;0.073363995;;;;;;;;0.325114524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000732-11-6;0.038119998;;;;;0.416373369;0.044142428;0.201680506;;;;;;0.097612413;0.202071286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000759-94-4;0.101163657;;;;;0.570994681;0.073987016;0.084509051;;;;;;;0.169345595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000811-97-2;0.019758582;;;;;0.235436835;;;0.744804582;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000834-12-8;0.075379404;;;;;0.47551577;0.308076365;;;;;;;;0.141028461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000900-95-8;0.04435405;;;;;0.587231588;;0.078220949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.290193413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00091-20-3;0.062914476;;;;;0.937085524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000944-22-9;0.061382878;;;;;0.487612265;;0.064951367;;;;;;0.12574462;0.260308871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000950-37-8;0.036676641;;;;;0.238378319;0.092664089;0.211684552;;;;;;0.102454324;0.318142075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000999-81-5;0.082902079;;;;;0.379936229;0.088614882;;;;;;;;;0.44854681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000999-97-3;0.118665386;;;;;0.446519409;0.086787075;;;;;;0.34802813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001085-98-9;0.033275573;;;;;0.324409827;0.084071239;0.096027397;0.057015039;;;;;;0.192426924;0.212774001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001194-65-6;0.017580578;;;;;0.488797033;0.081432259;;;;;;;;;0.412190131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001305-62-0;0.027209415;;;;;;;0.431868488;;;;;;;;;;;0.540922097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001309-36-0;;;;;;;;;;;;;;;0.534489226;;;;;;;;;;0.465510774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001310-58-3;0.017966217;;;;;;;0.285160226;;;;;;;;;;0.696873557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001310-73-2;0.025202036;;;;;;;0.400007308;;0.574790657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001314-23-4;;;;;;;;0.259677655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.740322345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001333-74-0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001563-66-2;0.06833713;;;;;0.651426402;0.063306758;0.21692971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001593-77-7;0.115103532;;;;;0.703351916;0.041011782;0.14053277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001596-84-5;0.075518346;;;;;0.449926017;0.174898391;0.299657246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001643-20-5;0.136211466;;;;;0.732991003;0.061057156;0.069740375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001689-83-4;0.008152791;;;;;0.226674001;0.037763273;0.043133762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.684276173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001689-84-5;0.010920319;;;;;0.303620244;0.050582309;0.057775852;;;;;;;;;;;;;;;;;;;;;;;;;;0.577101277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001689-99-2;0.042509067;;;;;0.446933126;0.034746995;0.07937705;;;;;;;;;;;;;;;;;;;;;;;;;;0.396433763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001698-60-8;0.036382668;;;;;0.541905037;0.189587807;0.072183321;;;;;;;;0.159941167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001702-17-6;0.01575041;;;;;0.375353525;0.072955025;0.16666059;;;;;;;;0.36928045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001717-00-6;0.025858441;;;;;0.205413849;;;0.162456711;;;;;;;0.606270998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001746-01-6;0.012523217;;;;;0.447667737;;0.099384399;;;;;;;;0.440424646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
